fund_id,category,aum_cr,history_years,cagr_3y,cagr_5y,sharpe,sortino,annual_vol,max_drawdown,var_95,expense_ratio,exit_load,rolling_alpha_std,f_return,f_risk,f_cost,f_consistency
EL0000,ELSS,2973.8,5.78,13.88,13.48,0.497,0.6,14.05,21.72,11.31,0.63,0.0,2.699,0.4074523589368225,0.7407436278502609,0.8914473684210527,0.9043820463731121
EL0001,ELSS,6305.9,13.67,15.78,16.26,0.564,0.937,17.31,31.96,11.03,1.0,1.0,6.232,0.559304045822438,0.5449604609849517,0.45888157894736836,0.5286109338438629
EL0002,ELSS,1377.0,11.16,16.88,17.6,0.703,0.889,15.8,33.74,9.71,1.81,1.0,3.759,0.6193554035643031,0.5868560312260239,0.05921052631578938,0.7916400765794511
EL0003,ELSS,5288.0,10.35,11.9,11.72,0.331,0.447,15.78,33.4,9.98,0.56,0.5,5.749,0.30330460860510766,0.5868729086351745,0.800986842105263,0.579982982344182
EL0004,ELSS,886.1,12.26,12.24,10.76,0.285,0.359,14.96,25.26,12.08,0.73,1.0,5.946,0.2515648474168868,0.6652397747218233,0.5921052631578947,0.559029993618379
EL0005,ELSS,867.0,11.99,15.11,14.84,0.433,0.72,19.27,30.96,12.37,1.17,1.0,6.371,0.4637933272403444,0.48207238832248933,0.375,0.5138268453520527
EL0006,ELSS,3253.3,5.22,17.39,18.34,0.686,1.009,17.25,35.03,11.11,1.63,0.5,4.253,0.6592011812318861,0.511599365653909,0.2730263157894737,0.7390980642416507
EL0007,ELSS,687.2,14.99,10.77,10.9,0.225,0.382,19.61,38.82,13.12,1.16,0.5,7.686,0.2519462550196907,0.374781916995339,0.5049342105263158,0.37396298659859595
EL0008,ELSS,2811.7,14.36,13.87,14.26,0.379,0.452,20.51,37.0,16.93,1.31,0.5,5.98,0.40199329057535926,0.310499596644794,0.43092105263157887,0.5554137417570728
EL0009,ELSS,1943.2,13.86,13.72,12.66,0.345,0.606,17.88,30.59,11.8,1.0,0.5,6.724,0.35926156949457955,0.5325295094318433,0.5838815789473684,0.4762816422037863
EL0010,ELSS,4235.9,10.85,15.84,15.09,0.574,1.007,14.98,22.46,9.15,0.95,0.0,3.545,0.5270745298977337,0.7416295117527878,0.7335526315789473,0.8144011912359073
EL0011,ELSS,1721.9,9.75,14.47,13.83,0.374,0.456,19.62,39.79,17.1,1.12,0.5,5.749,0.3862962802244785,0.30113357049948286,0.5246710526315789,0.579982982344182
EL0012,ELSS,1877.6,9.9,12.75,12.19,0.318,0.497,17.9,33.9,15.44,0.9,1.0,7.907,0.3250113120463592,0.4382724254901952,0.5082236842105263,0.3504573495001063
EL0014,ELSS,1126.2,9.49,12.77,9.46,0.17,0.267,17.43,37.21,11.85,0.62,1.0,4.459,0.1782643927748952,0.47115113113534446,0.6463815789473684,0.7171878323760902
EL0015,ELSS,1094.4,10.86,13.57,13.1,0.355,0.477,18.59,35.84,12.21,1.37,0.5,5.005,0.36011637213927566,0.44930277390923123,0.4013157894736842,0.6591150818974686
EL0016,ELSS,2598.9,11.25,9.41,8.81,0.133,0.219,17.37,37.23,14.17,1.11,0.5,4.11,0.14395816291984803,0.4359820975761324,0.5296052631578947,0.7543075941289087
EL0017,ELSS,1761.0,7.65,12.22,10.07,0.22,0.32,16.2,28.83,10.94,1.04,0.5,4.615,0.21340286808882716,0.6106273220691714,0.5641447368421052,0.7005956179536268
EL0018,ELSS,1339.6,9.18,16.15,16.46,0.633,0.892,15.72,27.73,13.83,0.61,0.5,3.24,0.5695869110208867,0.5900786333470414,0.7763157894736842,0.8468410976388002
EL0019,ELSS,1692.3,11.0,15.53,14.16,0.44,0.678,17.38,37.37,14.75,0.81,0.0,5.642,0.4347359251284948,0.42503440679276894,0.8026315789473684,0.59136353967241
EL0020,ELSS,6600.1,8.71,16.42,15.49,0.498,0.796,18.06,39.16,14.03,1.46,0.5,7.085,0.505194900776101,0.3984225035502035,0.35690789473684215,0.43788555626462444
EL0021,ELSS,1306.8,14.58,16.26,17.98,0.575,0.971,19.96,43.29,12.03,1.04,0.0,4.684,0.6272868924207665,0.3334508882029763,0.6891447368421052,0.6932567538821527
EL0022,ELSS,1280.8,11.76,21.18,21.89,0.883,1.159,17.43,35.81,15.08,1.18,0.0,5.731,0.8317125358119221,0.43561986653919527,0.6200657894736843,0.5818974686236971
EL0025,ELSS,3009.2,11.59,11.14,10.44,0.314,0.483,12.53,21.39,7.79,0.69,0.5,4.402,0.2593631341795082,0.840753570006155,0.736842105263158,0.7232503722612209
EL0026,ELSS,3483.7,8.54,12.25,14.15,0.356,0.519,21.48,46.2,17.46,1.13,0.5,5.183,0.40358510147579435,0.17500464688749884,0.5197368421052632,0.6401829398000425
EL0027,ELSS,1953.4,13.23,11.38,11.84,0.359,0.472,14.88,25.15,12.52,1.21,1.0,4.167,0.31436504676123733,0.6616663232336033,0.35526315789473684,0.748245054243778
EL0028,ELSS,3845.6,5.9,14.8,13.4,0.356,0.524,19.4,38.91,17.21,1.2,0.5,4.005,0.37706110072567234,0.31498523564946124,0.48519736842105265,0.7654754307594129
EL0030,ELSS,4384.2,8.27,19.43,19.61,0.753,0.998,17.41,37.89,13.1,1.0,0.5,5.65,0.7122832479059572,0.44452101893961116,0.5838815789473684,0.5905126568815144
EL0031,ELSS,3937.6,12.1,16.11,15.55,0.56,0.699,16.15,34.85,11.75,1.26,0.0,5.89,0.5029329120619581,0.5330947270561737,0.5805921052631579,0.5649861731546479
EL0032,ELSS,6462.3,14.69,21.35,19.14,0.894,1.169,14.14,26.07,11.46,1.04,1.0,7.925,0.7347957399034133,0.6881851132918644,0.4391447368421052,0.34854286322059136
EL0033,ELSS,1587.6,13.72,13.36,13.37,0.506,0.85,13.59,24.38,11.91,1.01,1.0,7.985,0.43628522146855303,0.7144553203714604,0.45394736842105265,0.34216124228887457
EL0034,ELSS,754.4,9.32,9.28,8.45,0.09,0.107,21.69,47.49,16.91,1.67,0.5,3.272,0.11128365871436656,0.1638540475771052,0.2532894736842105,0.8434375664752181
EL0035,ELSS,3025.9,12.94,17.87,18.01,0.683,0.869,16.84,26.52,11.25,0.81,0.5,7.013,0.6291334083582786,0.6138853901697319,0.6776315789473684,0.4455435013826845
EL0037,ELSS,6462.4,10.29,12.08,10.85,0.211,0.352,20.65,44.83,16.23,0.75,0.5,5.322,0.24456084122245417,0.23177400375642354,0.7072368421052632,0.6253988513082323
EL0038,ELSS,5052.3,14.17,16.16,16.42,0.65,1.08,15.27,29.79,13.12,1.3,1.0,6.311,0.5941125362707124,0.5907566341101729,0.3108552631578947,0.5202084662837694
EL0039,ELSS,8939.9,8.36,14.17,13.07,0.37,0.504,17.77,32.5,11.01,1.31,0.5,2.814,0.36435157935665763,0.5269649450212456,0.43092105263157887,0.8921506062539886
EL0040,ELSS,2920.4,14.56,13.89,12.87,0.383,0.567,16.64,25.05,11.97,0.95,0.0,8.464,0.36673897073090445,0.624064356375922,0.7335526315789473,0.29121463518400326
EL0041,ELSS,2143.0,6.43,10.72,9.58,0.237,0.314,13.03,23.59,11.49,0.73,0.0,6.469,0.19705368744036922,0.7448223467739978,0.8421052631578947,0.503403531163582
EL0042,ELSS,731.3,5.16,14.47,15.32,0.553,0.836,15.94,34.36,11.97,0.51,0.0,4.218,0.5110759414423103,0.5406605801198098,0.950657894736842,0.7428206764518187
EL0043,ELSS,2279.3,9.77,17.71,16.88,0.568,0.807,18.26,34.38,12.17,0.92,0.5,4.907,0.565789733765947,0.47484865817694777,0.6233552631578947,0.6695383960859391
EL0044,ELSS,1212.3,13.98,14.56,15.71,0.614,1.012,15.0,25.86,10.59,1.26,0.5,2.635,0.5552263565805524,0.6810570083185844,0.45559210526315785,0.9111891087002766
EL0045,ELSS,2114.5,7.42,11.84,13.48,0.45,0.754,15.53,28.58,11.22,0.78,1.0,5.177,0.4210095334696068,0.6269922238684152,0.5674342105263157,0.6408211018932142
EL0046,ELSS,1875.4,12.8,10.51,9.12,0.164,0.286,15.98,33.7,10.15,1.13,0.5,4.909,0.1676001199736425,0.5755162240433934,0.5197368421052632,0.6693256753882153
EL0047,ELSS,2593.4,5.86,11.91,7.9,0.061,0.077,22.83,48.64,18.23,0.66,0.5,3.942,0.08389269737872121,0.09973901482160163,0.7516447368421052,0.7721761327377153
EL0048,ELSS,1674.2,12.2,15.76,16.51,0.91,1.27,11.0,18.92,8.55,1.03,0.5,6.778,0.6543875924772933,0.8970796879476493,0.569078947368421,0.47053818336524145
EL0049,ELSS,3779.8,10.13,15.6,14.69,0.455,0.545,18.0,33.97,14.3,0.76,0.5,8.239,0.4389763319683687,0.45277919296476443,0.7023026315789473,0.31514571367794075
EL0051,ELSS,2079.7,11.9,7.43,6.22,-0.019,-0.025,14.58,25.67,8.82,0.95,0.5,5.116,0.0,0.7223434189771443,0.6085526315789473,0.6473090831737929
EL0052,ELSS,4726.9,11.85,15.84,14.85,0.533,0.758,15.67,24.69,10.22,0.74,1.0,6.536,0.4816403814917143,0.6817051493106445,0.587171052631579,0.4962773877898319
EL0053,ELSS,8372.9,9.67,11.63,12.68,0.334,0.421,18.5,33.77,12.02,0.9,1.0,5.945,0.3351520669741963,0.4774524842806023,0.5082236842105263,0.5591363539672409
EL0054,ELSS,3198.6,6.48,16.7,16.4,0.53,0.637,18.67,34.78,11.75,0.82,1.0,4.046,0.5220547914043359,0.4660405085879046,0.5476973684210527,0.7611146564560731
EL0055,ELSS,7133.7,5.46,12.08,13.12,0.388,0.506,17.06,28.49,14.0,0.71,1.0,4.69,0.36869613157644715,0.5429883577463324,0.6019736842105263,0.692618591788981
EL0056,ELSS,2046.3,14.53,11.34,11.43,0.249,0.429,19.78,32.0,12.58,1.42,0.5,5.549,0.2801334467819594,0.45361521966086504,0.3766447368421053,0.6012550521165709
EL0057,ELSS,1803.9,11.21,14.99,14.12,0.375,0.503,20.31,30.88,16.25,0.99,0.5,6.571,0.4028789086298249,0.39381001467346133,0.5888157894736842,0.4925547755796639
EL0058,ELSS,2715.6,12.9,22.04,21.08,0.769,1.312,18.95,28.64,12.38,0.44,0.5,6.033,0.807323821210216,0.5160057305333349,0.8601973684210527,0.5497766432673898
EL0059,ELSS,1795.7,11.67,16.9,17.07,0.711,1.241,14.86,29.26,9.44,0.91,1.0,6.068,0.6457770176303523,0.6656102679272772,0.5032894736842105,0.5460540310572218
EL0060,ELSS,1041.8,13.12,14.94,15.42,0.496,0.655,17.98,28.37,11.67,1.37,0.0,3.194,0.4845417326097956,0.5562672741882682,0.5263157894736842,0.8517336736864497
EL0061,ELSS,1243.4,5.79,15.65,16.34,0.547,0.683,18.0,26.9,13.54,0.87,0.5,7.137,0.5278644519588336,0.5424006802766697,0.6480263157894737,0.4323548181238034
EL0062,ELSS,851.3,9.47,8.9,8.08,0.113,0.188,14.05,30.9,11.15,1.55,0.0,5.63,0.11106301885111665,0.6424494842116661,0.4374999999999999,0.5926398638587533
